sent_id, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
100, -27.906151056289673, -3.986593008041382, -16.02787490632936, -1, -1, -1, -1
101, -106.91882276535034, -5.6273064613342285, -35.270058112351194, -1, -1, -1, -1
102, -115.07352352142334, -4.425904750823975, -30.931932694891696, -1, -1, -1, -1
103, -71.17325067520142, -5.474865436553955, -29.5542401463698, -1, -1, -1, -1
104, -36.51294231414795, -3.651294231414795, -17.54263486803104, -1, -1, -1, -1
105, -93.03738474845886, -3.7214953899383545, -25.673287872445584, -1, -1, -1, -1
106, -54.1127347946167, -2.848038673400879, -17.850545408763093, -1, -1, -1, -1
107, -45.84265756607056, -4.167514324188232, -20.916778650613576, -1, -1, -1, -1
108, -50.40569305419922, -3.150355815887451, -18.50227599597214, -1, -1, -1, -1
109, -65.08249092102051, -4.648749351501465, -25.881073493333975, -1, -1, -1, -1
110, -27.2501220703125, -4.54168701171875, -16.77935661425099, -1, -1, -1, -1
111, -22.976956129074097, -3.2824223041534424, -13.196795854153228, -1, -1, -1, -1
112, -34.07145309448242, -4.258931636810303, -18.3551092766607, -1, -1, -1, -1
113, -69.56447696685791, -3.8646931648254395, -23.74248955674058, -1, -1, -1, -1
114, -37.17175483703613, -3.7171754837036133, -17.85916119549262, -1, -1, -1, -1
115, -72.87504363059998, -3.168480157852173, -21.250707960790844, -1, -1, -1, -1
116, -31.907809734344482, -4.558258533477783, -18.326224276699943, -1, -1, -1, -1
117, -78.14847493171692, -2.89438796043396, -20.47960258984677, -1, -1, -1, -1
118, -41.59332251548767, -3.7812111377716064, -18.977920709464886, -1, -1, -1, -1
119, -31.338459014892578, -3.9173073768615723, -16.88277979179168, -1, -1, -1, -1
120, -54.34084510803223, -4.5284037590026855, -23.620454582442687, -1, -1, -1, -1
121, -58.09752941131592, -2.904876470565796, -18.549262955382293, -1, -1, -1, -1
122, -78.20264339447021, -3.9101321697235107, -24.968383523852186, -1, -1, -1, -1
123, -45.600364208221436, -5.066707134246826, -23.15191307162554, -1, -1, -1, -1
124, -77.19413638114929, -3.0877654552459717, -21.30140793119079, -1, -1, -1, -1
125, -21.613967418670654, -4.322793483734131, -14.363341714190842, -1, -1, -1, -1
126, -51.59221005439758, -2.715379476547241, -17.019082325258616, -1, -1, -1, -1
127, -70.16909599304199, -5.012078285217285, -27.903841796107, -1, -1, -1, -1
128, -30.02986717224121, -3.7537333965301514, -16.17780996840888, -1, -1, -1, -1
129, -68.17780923843384, -3.78765606880188, -23.269217198544556, -1, -1, -1, -1
130, -52.54000759124756, -4.776364326477051, -23.972600355985016, -1, -1, -1, -1
131, -65.15067100524902, -5.429222583770752, -28.31918536481657, -1, -1, -1, -1
132, -127.91028070449829, -3.7620670795440674, -28.61374923058991, -1, -1, -1, -1
133, -82.8089599609375, -5.175559997558594, -30.396452053326755, -1, -1, -1, -1
134, -27.838053703308105, -3.976864814758301, -15.98876324765457, -1, -1, -1, -1
135, -44.647762298583984, -4.058887481689453, -20.371579895836746, -1, -1, -1, -1
136, -52.47403812408447, -3.748145580291748, -20.867124444107617, -1, -1, -1, -1
137, -58.706199645996094, -4.892183303833008, -25.517952834360646, -1, -1, -1, -1
138, -60.85854482650757, -4.681426525115967, -25.271124076786116, -1, -1, -1, -1
139, -57.18826246261597, -3.1771256923675537, -19.518463783371526, -1, -1, -1, -1
